,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes_x,nbVotes_y
450,nm0166507,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1991.0,27.0,281.0
451,nm0167043,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2016.0,808.0,1448.0
452,nm0167509,1,0,0,1,0,5,1,5,0,17,0,1,2,0,0,2,3,2,3,0,3,0,0,20,1976.0,857.0,105.0
453,nm0168413,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1960.0,185.0,3890.0
454,nm0169051,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1979.0,49.0,44.0
455,nm0169300,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2003.0,767.0,6676.0
456,nm0169621,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,3,0,0,1,0,0,5,2008.0,7205.0,208.0
457,nm0169699,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2014.0,46.0,88.0
458,nm0169806,2,0,0,1,0,5,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,5,2013.0,230911.0,271466.0
459,nm0171664,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1992.0,2470.0,2470.0
460,nm0172025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1980.0,10.0,118.0
461,nm0173354,0,0,0,1,0,10,0,4,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1980.0,2696.0,521.0
462,nm0175916,3,0,0,2,1,4,0,3,0,12,0,0,0,0,3,0,2,5,1,0,5,0,0,15,2009.0,35362.0,34442.0
463,nm0177896,5,0,0,4,3,13,0,6,0,14,0,1,1,2,2,2,4,8,3,0,8,0,0,25,2014.0,338314.0,249700.0
464,nm0180404,7,0,1,6,0,23,1,3,0,24,3,5,0,1,3,2,3,5,1,1,7,0,1,40,2009.0,2394.0,2473.0
465,nm0181246,0,0,0,0,0,6,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,6,2016.0,4146.0,14415.0
466,nm0183659,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1998.0,25.0,26.0
467,nm0191685,2,0,0,1,1,4,0,2,0,4,0,1,1,0,1,0,0,2,0,0,1,0,2,8,1974.0,4361.0,1495.0
468,nm0192182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1966.0,8.0,8.0
469,nm0192490,0,0,0,2,0,2,0,0,0,7,0,0,1,2,0,0,2,2,0,0,0,0,0,8,1976.0,3308.0,95.0
470,nm0193554,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2020.0,71803.0,13816.0
471,nm0195439,2,0,0,1,0,1,0,1,0,7,0,1,2,2,2,0,2,3,2,0,5,0,0,9,2010.0,38668.0,11959.0
472,nm0197855,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2005.0,108933.0,214182.0
473,nm0199047,0,0,0,1,0,6,0,0,0,10,0,1,0,0,0,0,0,4,1,0,1,0,0,12,2012.0,1575.0,1500.0
474,nm0200452,2,0,0,4,2,4,0,1,0,13,0,3,0,2,0,1,0,2,3,0,2,0,1,14,2013.0,188350.0,32280.0
475,nm0200469,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1988.0,180.0,227.0
476,nm0200645,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1960.0,1439.0,1065.0
477,nm0200702,2,0,1,2,0,20,0,2,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,21,2014.0,8727.0,11465.0
478,nm0201669,1,0,1,1,1,41,0,7,0,48,0,0,1,1,0,0,3,13,0,1,4,0,0,64,2007.0,2040.0,392.0
479,nm0205289,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1998.0,8391.0,7666.0
480,nm0209629,0,0,0,0,0,2,0,0,0,8,0,0,0,1,1,0,1,0,0,0,3,0,0,11,2013.0,1953.0,178.0
481,nm0210206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2020.0,411.0,411.0
482,nm0210948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2006.0,71.0,424.0
483,nm0211387,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1976.0,35.0,35.0
484,nm0213499,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1974.0,681.0,501.0
485,nm0214088,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1976.0,37.0,30.0
486,nm0217779,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1985.0,21.0,330.0
487,nm0218022,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2009.0,1684.0,1849.0
488,nm0218843,0,0,1,0,1,10,1,2,1,16,0,0,0,0,0,0,1,5,1,0,2,0,0,23,2001.0,439.0,1148.0
489,nm0219959,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2013.0,350.0,12201.0
490,nm0220240,1,0,0,2,0,5,0,0,0,6,1,1,0,0,0,0,0,3,0,0,0,0,0,8,2018.0,20596.0,33391.0
491,nm0220907,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2009.0,28.0,37.0
492,nm0223622,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1972.0,373.0,1470.0
493,nm0223924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2011.0,1869.0,3128.0
